name,author,user_rating,reviews,price,year,genre
10-day green smoothie cleanse,jj smith,4.7,17350,8,2016,non fiction
11/22/63: a novel,stephen king,4.6,2052,22,2011,fiction
12 rules for life: an antidote to chaos,jordan b. peterson,4.7,18979,15,2018,non fiction
1984 (signet classics),george orwell,4.7,21424,6,2017,fiction
"5,000 awesome facts (about everything!) (national geographic kids)",national geographic kids,4.8,7665,12,2019,non fiction
a dance with dragons (a song of ice and fire),george r. r. martin,4.4,12643,11,2011,fiction
a game of thrones / a clash of kings / a storm of swords / a feast of crows / a dance with dragons,george r. r. martin,4.7,19735,30,2014,fiction
a gentleman in moscow: a novel,amor towles,4.7,19699,15,2017,fiction
"a higher loyalty: truth, lies, and leadership",james comey,4.7,5983,3,2018,non fiction
a man called ove: a novel,fredrik backman,4.6,23848,8,2016,fiction
a man called ove: a novel,fredrik backman,4.6,23848,8,2017,fiction
a patriot's history of the united states: from columbus's great discovery to the war on terror,larry schweikart,4.6,460,2,2010,non fiction
a stolen life: a memoir,jaycee dugard,4.6,4149,32,2011,non fiction
a wrinkle in time (time quintet),madeleine l'engle,4.5,5153,5,2018,fiction
"act like a lady, think like a man: what men really think about love, relationships, intimacy, and commitment",steve harvey,4.6,5013,17,2009,non fiction
"adult coloring book designs: stress relief coloring book: garden designs, mandalas, animals, and paisley patterns",adult coloring book designs,4.5,2313,4,2016,non fiction
adult coloring book: stress relieving animal designs,blue star coloring,4.6,2925,6,2015,non fiction
adult coloring book: stress relieving patterns,blue star coloring,4.4,2951,6,2015,non fiction
"adult coloring books: a coloring book for adults featuring mandalas and henna inspired flowers, animals, and paisley…",coloring books for adults,4.5,2426,8,2015,non fiction
alexander hamilton,ron chernow,4.8,9198,13,2016,non fiction
all the light we cannot see,anthony doerr,4.6,36348,14,2014,fiction
all the light we cannot see,anthony doerr,4.6,36348,14,2015,fiction
allegiant,veronica roth,3.9,6310,13,2013,fiction
american sniper: the autobiography of the most lethal sniper in u.s. military history,chris kyle,4.6,15921,9,2015,non fiction
and the mountains echoed,khaled hosseini,4.3,12159,13,2013,fiction
arguing with idiots: how to stop small minds and big government,glenn beck,4.6,798,5,2009,non fiction
astrophysics for people in a hurry,neil degrasse tyson,4.7,9374,9,2017,non fiction
"autobiography of mark twain, vol. 1",mark twain,4.2,491,14,2010,non fiction
baby touch and feel: animals,dk,4.6,5360,5,2015,non fiction
balance (angie's extreme stress menders),angie grace,4.6,1909,11,2015,non fiction
barefoot contessa foolproof: recipes you can trust: a cookbook,ina garten,4.8,1296,24,2012,non fiction
"barefoot contessa, how easy is that?: fabulous recipes & easy tips",ina garten,4.7,615,21,2010,non fiction
becoming,michelle obama,4.8,61133,11,2018,non fiction
becoming,michelle obama,4.8,61133,11,2019,non fiction
being mortal: medicine and what matters in the end,atul gawande,4.8,11113,15,2015,non fiction
between the world and me,ta-nehisi coates,4.7,10070,13,2015,non fiction
between the world and me,ta-nehisi coates,4.7,10070,13,2016,non fiction
born to run,bruce springsteen,4.7,3729,18,2016,non fiction
"breaking dawn (the twilight saga, book 4)",stephenie meyer,4.6,9769,13,2009,fiction
"broke: the plan to restore our trust, truth and treasure",glenn beck,4.5,471,8,2010,non fiction
"brown bear, brown bear, what do you see?",bill martin jr.,4.9,14344,5,2017,fiction
"brown bear, brown bear, what do you see?",bill martin jr.,4.9,14344,5,2019,fiction
"cabin fever (diary of a wimpy kid, book 6)",jeff kinney,4.8,4505,0,2011,fiction
calm the f*ck down: an irreverent adult coloring book (irreverent book series),sasha o'hara,4.6,10369,4,2016,non fiction
can't hurt me: master your mind and defy the odds,david goggins,4.8,16244,18,2019,non fiction
capital in the twenty first century,thomas piketty,4.5,2884,28,2014,non fiction
catching fire (the hunger games),suzanne collins,4.7,22614,11,2010,fiction
catching fire (the hunger games),suzanne collins,4.7,22614,11,2011,fiction
catching fire (the hunger games),suzanne collins,4.7,22614,11,2012,fiction
cravings: recipes for all the food you want to eat: a cookbook,chrissy teigen,4.7,4761,16,2016,non fiction
crazy love: overwhelmed by a relentless god,francis chan,4.7,1542,14,2009,non fiction
crazy love: overwhelmed by a relentless god,francis chan,4.7,1542,14,2010,non fiction
crazy love: overwhelmed by a relentless god,francis chan,4.7,1542,14,2011,non fiction
crazy rich asians (crazy rich asians trilogy),kevin kwan,4.3,6143,8,2018,fiction
creative haven creative cats coloring book (adult coloring),marjorie sarnat,4.8,4022,4,2015,non fiction
creative haven owls coloring book (adult coloring),marjorie sarnat,4.8,3871,5,2015,non fiction
cutting for stone,abraham verghese,4.6,4866,11,2010,fiction
cutting for stone,abraham verghese,4.6,4866,11,2011,fiction
"daring greatly: how the courage to be vulnerable transforms the way we live, love, parent, and lead",brené brown,4.8,1329,10,2013,non fiction
"david and goliath: underdogs, misfits, and the art of battling giants",malcolm gladwell,4.4,4642,13,2013,non fiction
dead and gone: a sookie stackhouse novel (sookie stackhouse/true blood),charlaine harris,4.6,1541,4,2009,fiction
"dead in the family (sookie stackhouse/true blood, book 10)",charlaine harris,4.3,1924,8,2010,fiction
"dead reckoning (sookie stackhouse/true blood, book 11)",charlaine harris,4.2,2094,4,2011,fiction
dear zoo: a lift-the-flap book,rod campbell,4.8,10922,5,2015,fiction
dear zoo: a lift-the-flap book,rod campbell,4.8,10922,5,2016,fiction
dear zoo: a lift-the-flap book,rod campbell,4.8,10922,5,2017,fiction
dear zoo: a lift-the-flap book,rod campbell,4.8,10922,5,2018,fiction
decision points,george w. bush,4.6,2137,17,2010,non fiction
"delivering happiness: a path to profits, passion, and purpose",tony hsieh,4.6,1651,15,2010,non fiction
"diagnostic and statistical manual of mental disorders, 5th edition: dsm-5",american psychiatric association,4.5,6679,105,2013,non fiction
"diagnostic and statistical manual of mental disorders, 5th edition: dsm-5",american psychiatric association,4.5,6679,105,2014,non fiction
"diary of a wimpy kid: hard luck, book 8",jeff kinney,4.8,6812,0,2013,fiction
diary of a wimpy kid: the last straw (book 3),jeff kinney,4.8,3837,15,2009,fiction
diary of a wimpy kid: the long haul,jeff kinney,4.8,6540,22,2014,fiction
difficult riddles for smart kids: 300 difficult riddles and brain teasers families will love (books for smart kids),m prefontaine,4.6,7955,5,2019,non fiction
divergent,veronica roth,4.6,27098,15,2013,fiction
divergent,veronica roth,4.6,27098,15,2014,fiction
divergent / insurgent,veronica roth,4.5,17684,6,2014,fiction
"divine soul mind body healing and transmission system: the divine way to heal you, humanity, mother earth, and all…",zhi gang sha,4.6,37,6,2009,non fiction
doctor sleep: a novel,stephen king,4.7,15845,13,2013,fiction
"dog days (diary of a wimpy kid, book 4) (volume 4)",jeff kinney,4.8,3181,12,2009,fiction
dog man and cat kid: from the creator of captain underpants (dog man #4),dav pilkey,4.9,5062,6,2018,fiction
dog man: a tale of two kitties: from the creator of captain underpants (dog man #3),dav pilkey,4.9,4786,8,2017,fiction
dog man: brawl of the wild: from the creator of captain underpants (dog man #6),dav pilkey,4.9,7235,4,2018,fiction
dog man: brawl of the wild: from the creator of captain underpants (dog man #6),dav pilkey,4.9,7235,4,2019,fiction
dog man: fetch-22: from the creator of captain underpants (dog man #8),dav pilkey,4.9,12619,8,2019,fiction
dog man: for whom the ball rolls: from the creator of captain underpants (dog man #7),dav pilkey,4.9,9089,8,2019,fiction
dog man: lord of the fleas: from the creator of captain underpants (dog man #5),dav pilkey,4.9,5470,6,2018,fiction
double down (diary of a wimpy kid #11),jeff kinney,4.8,5118,20,2016,fiction
dover creative haven art nouveau animal designs coloring book (creative haven coloring books),marty noble,4.6,2134,5,2015,non fiction
drive: the surprising truth about what motivates us,daniel h. pink,4.5,2525,16,2010,non fiction
eat this not that! supermarket survival guide: the no-diet weight loss solution,david zinczenko,4.5,720,1,2009,non fiction
"eat this, not that! thousands of simple food swaps that can save you 10, 20, 30 pounds--or more!",david zinczenko,4.3,956,14,2009,non fiction
"eat to live: the amazing nutrient-rich program for fast and sustained weight loss, revised edition",joel fuhrman md,4.5,6346,9,2011,non fiction
"eat to live: the amazing nutrient-rich program for fast and sustained weight loss, revised edition",joel fuhrman md,4.5,6346,9,2012,non fiction
eclipse (twilight sagas),stephenie meyer,4.7,5505,7,2009,fiction
eclipse (twilight),stephenie meyer,4.7,5505,18,2009,fiction
educated: a memoir,tara westover,4.7,28729,15,2018,non fiction
educated: a memoir,tara westover,4.7,28729,15,2019,non fiction
"enchanted forest: an inky quest and coloring book (activity books, mindfulness and meditation, illustrated floral prints…",johanna basford,4.7,5413,9,2015,non fiction
fahrenheit 451,ray bradbury,4.6,10721,8,2016,fiction
fahrenheit 451,ray bradbury,4.6,10721,8,2018,fiction
fantastic beasts and where to find them: the original screenplay (harry potter),j.k. rowling,4.7,4370,15,2016,fiction
fear: trump in the white house,bob woodward,4.4,6042,2,2018,non fiction
fifty shades darker,e l james,4.4,23631,7,2012,fiction
fifty shades freed: book three of the fifty shades trilogy (fifty shades of grey series) (english edition),e l james,4.5,20262,11,2012,fiction
fifty shades of grey: book one of the fifty shades trilogy (fifty shades of grey series),e l james,3.8,47265,14,2012,fiction
fifty shades of grey: book one of the fifty shades trilogy (fifty shades of grey series),e l james,3.8,47265,14,2013,fiction
fifty shades trilogy (fifty shades of grey / fifty shades darker / fifty shades freed),e l james,4.5,13964,32,2012,fiction
fire and fury: inside the trump white house,michael wolff,4.2,13677,6,2018,non fiction
first 100 words,roger priddy,4.7,17323,4,2014,non fiction
first 100 words,roger priddy,4.7,17323,4,2015,non fiction
first 100 words,roger priddy,4.7,17323,4,2016,non fiction
first 100 words,roger priddy,4.7,17323,4,2017,non fiction
first 100 words,roger priddy,4.7,17323,4,2018,non fiction
food rules: an eater's manual,michael pollan,4.4,1555,9,2010,non fiction
frozen (little golden book),rh disney,4.7,3642,0,2014,fiction
"game change: obama and the clintons, mccain and palin, and the race of a lifetime",john heilemann,4.4,1215,9,2010,non fiction
game of thrones boxed set: a game of thrones/a clash of kings/a storm of swords/a feast for crows,george r.r. martin,4.6,5594,5,2011,fiction
game of thrones boxed set: a game of thrones/a clash of kings/a storm of swords/a feast for crows,george r.r. martin,4.6,5594,5,2012,fiction
game of thrones boxed set: a game of thrones/a clash of kings/a storm of swords/a feast for crows,george r.r. martin,4.6,5594,5,2013,fiction
george washington's sacred fire,peter a. lillback,4.5,408,20,2010,non fiction
george washington's secret six: the spy ring that saved the american revolution,brian kilmeade,4.6,4799,16,2013,non fiction
giraffes can't dance,giles andreae,4.8,14038,4,2015,fiction
giraffes can't dance,giles andreae,4.8,14038,4,2016,fiction
giraffes can't dance,giles andreae,4.8,14038,4,2017,fiction
giraffes can't dance,giles andreae,4.8,14038,4,2018,fiction
giraffes can't dance,giles andreae,4.8,14038,4,2019,fiction
"girl, stop apologizing: a shame-free plan for embracing and achieving your goals",rachel hollis,4.6,7660,12,2019,non fiction
"girl, wash your face: stop believing the lies about who you are so you can become who you were meant to be",rachel hollis,4.6,22288,12,2018,non fiction
"girl, wash your face: stop believing the lies about who you are so you can become who you were meant to be",rachel hollis,4.6,22288,12,2019,non fiction
"glenn beck's common sense: the case against an out-of-control government, inspired by thomas paine",glenn beck,4.6,1365,11,2009,non fiction
go set a watchman: a novel,harper lee,3.6,14982,19,2015,fiction
go the f**k to sleep,adam mansbach,4.8,9568,9,2011,fiction
going rogue: an american life,sarah palin,4.6,1636,6,2009,non fiction
gone girl,gillian flynn,4.0,57271,10,2012,fiction
gone girl,gillian flynn,4.0,57271,10,2013,fiction
